order_id,beer_id,amount
130,1650,4
131,1674,2
132,302,2
133,1428,2
134,821,2
135,1680,2
136,1195,2
137,1702,4
138,1195,2
138,1316,2
139,1178,4
140,1627,2
141,1547,2
142,1608,16
143,1619,2
144,1854,2
145,1178,4
146,977,8
147,1791,2
148,873,2
149,605,2
149,1953,8
150,2,2
151,1390,2
152,936,2
153,439,2
154,383,16
155,1606,2
156,1325,2
157,1413,2
157,1592,2
158,728,2
158,486,2
158,1409,256
159,1343,2
159,1358,2
160,113,4
161,1458,2
162,143,2
163,1757,16
164,1609,2
165,622,2
166,179,2
167,1682,8
168,1972,16
169,225,2
170,396,2
170,737,8
170,71,2
170,1700,2
171,1436,2
171,378,2
171,1344,8
171,1086,2
172,1708,2
172,309,16
172,1964,2
172,1972,2
172,684,16
173,296,32
174,190,2
175,1212,2
176,1142,2
177,1186,2
177,438,2
177,802,2
178,971,2
179,554,2
180,748,2
180,1218,2
180,1533,2
181,141,2
182,1203,2
183,856,8
184,370,128
185,1233,2
185,10,8
186,1230,16
187,834,2
188,1655,2
189,216,2
190,245,32
190,223,2
191,1694,64
192,703,2
193,341,2
194,5,2
195,1379,4
195,431,2
196,1194,2
196,1572,2
197,1928,2
198,663,2
199,288,2
200,1282,256
201,1955,2
202,1846,64
203,806,2
204,1059,2
204,565,2
204,1902,2
205,1298,2
206,553,8
207,1122,2
207,398,4
208,1912,2
209,273,2
210,688,2
211,1269,2
212,1658,2
213,1003,2
214,41,2
215,1857,2
215,222,2
216,1933,32
217,1253,256
218,1224,4
219,801,2
220,568,2
221,602,2
221,1934,2
222,1700,64
223,1876,8
223,1442,256
223,1362,8
224,428,2
225,1140,2
226,1128,2
227,1500,2
228,737,8
229,281,2
230,629,128
230,942,2
230,114,2
231,1985,2
231,1281,2
232,1566,8
233,733,2
234,158,2
234,1128,2
235,1476,2
236,1399,2
236,586,2
237,167,2
238,924,2
239,1162,8
240,1175,2
241,1227,8
242,183,2
243,1651,2
244,1622,2
244,1546,2
245,271,16
245,1216,2
246,875,8
246,405,2
246,427,2
247,1458,2
248,1478,2
249,349,8
250,187,4
251,1541,2
252,996,2
253,1509,64
253,1461,2
254,476,2
255,498,16
256,1446,2
257,1997,8
258,1892,2
259,747,2
260,808,2
260,1913,16
261,1465,4
262,728,2
263,272,4
264,112,2
264,708,2
264,980,2
265,1814,2
266,1269,2
267,1278,8
268,820,2
269,372,2
270,799,2
271,725,2
272,1341,2
273,1426,2
274,313,4
275,1095,2
276,1049,2
277,241,2
278,518,2
278,786,2
278,1088,2
278,1260,2
278,303,2
279,1119,2
280,110,2
281,111,2
282,1,16
283,89,2
283,1458,4
284,1478,4
285,1891,2
286,1636,2
286,1551,2
286,865,2
287,1616,4
288,327,2
288,159,4
288,284,2
288,423,64
288,406,2
289,1102,2
290,794,2
290,86,2
291,863,32
292,341,2
293,144,2
294,1761,8
295,141,32
296,1210,2
297,159,2
297,1737,16
297,426,2
298,1855,4
298,436,2
299,685,2
300,933,2
300,1581,2
300,1798,2
301,129,2
301,1521,256
301,360,2
302,381,2
302,169,2
302,836,2
302,167,2
303,727,2
304,1429,4
305,1708,2
306,1648,2
307,7,2
308,1722,2
309,825,2
310,1315,2
311,520,2
311,1664,2
311,427,2
311,1101,2
311,187,2
312,96,2
313,845,16
313,322,2
314,768,2
315,1338,2
315,588,2
316,105,32
316,1230,2
316,1179,128
316,384,2
317,936,2
317,1510,2
317,1484,2
317,1601,2
317,244,2
318,1044,2
319,739,2
319,965,2
320,105,4
320,30,64
320,944,2
321,54,2
322,1014,16
323,1881,2
324,1163,2
325,1494,2
325,1156,2
325,1042,2
326,857,2
327,574,2
328,1600,64
328,1934,2
328,88,4
329,1008,2
330,1563,8
331,1446,2
331,1671,2
332,785,2
333,959,2
334,1426,2
335,947,2
335,1948,2
335,921,2
335,1373,2
335,1403,2
336,1322,2
337,507,256
337,991,2
338,904,2
339,1535,2
340,615,2
341,134,2
342,1564,32
343,1135,4
344,1976,2
345,666,2
346,1329,2
347,1478,2
348,1676,16
349,1991,2
350,934,4
350,1221,4
351,72,2
352,1469,2
353,1073,2
354,1148,2
355,1788,2
355,1630,2
355,1722,2
355,99,2
355,770,2
356,1494,2
357,997,2
357,1712,2
358,1028,2
359,60,8
360,972,4
361,1047,2
361,90,2
362,1542,2
363,1580,128
364,919,2
365,1383,2
365,865,8
365,148,2
366,1423,128
366,1852,2
366,1244,2
366,38,2
366,1509,2
367,1604,2
368,1108,256
368,474,16
369,1867,2
370,1954,256
371,759,8
371,1013,4
372,1171,2
373,443,2
374,1277,2
375,338,128
376,222,2
376,1497,2
377,1243,8
378,1018,2
379,702,2
379,1818,2
379,985,2
379,178,2
380,193,2
381,793,2
381,792,128
381,188,2
381,1565,2
382,659,64
383,1001,2
384,1272,2
384,471,4
385,1565,2
386,699,16
387,28,2
388,556,2
389,47,2
389,1079,8
389,60,64
390,497,4
390,1585,2
390,653,2
390,1832,2
390,726,2
391,409,2
392,251,2
392,618,2
392,1068,2
393,499,2
394,314,2
395,1019,2
396,455,2
397,1164,2
398,1028,2
399,594,2
400,213,2
400,792,128
401,532,4
402,1511,2
403,1644,2
404,1185,2
404,1090,2
404,463,2
404,1043,2
404,137,2
405,399,2
405,418,2
405,1392,64
405,344,64
405,1084,64
406,62,2
406,1045,32
406,1357,2
406,868,2
406,1108,2
407,1326,2
408,159,4
408,646,2
408,1385,2
408,1065,4
408,1292,2
409,672,64
409,501,2
410,381,8
411,924,4
412,741,8
413,1396,2
413,347,2
413,207,2
413,932,2
414,1169,16
415,1207,128
415,1559,2
416,1341,2
417,981,64
418,1047,2
419,244,2
420,575,2
421,144,2
422,1536,2
423,1496,2
424,588,2
425,528,32
425,1552,4
425,1408,2
425,963,2
426,758,2
426,203,2
427,1434,2
428,859,16
428,851,2
428,989,2
429,366,64
430,841,2
431,131,2
432,1397,2
433,1097,2
434,480,2
435,579,2
436,356,2
437,792,2
438,52,2
439,1384,32
440,1963,2
441,375,2
442,1422,2
443,222,2
444,153,2
445,245,2
446,775,32
447,993,2
448,1771,2
449,180,2
450,1479,2
451,557,2
452,1547,16
453,1423,2
453,1859,2
454,1780,2
455,930,16
456,1082,2
457,421,2
458,1930,16
459,1202,2
460,1545,8
461,683,2
462,1126,8
463,9,2
463,1203,4
464,666,2
465,880,2
465,169,2
465,1842,2
465,1228,2
465,1303,2
466,512,2
467,1154,16
468,355,2
469,356,2
470,381,2
471,1545,2
472,39,2
473,1584,2
474,1846,2
474,893,2
474,622,64
475,1025,2
476,1927,2
477,1764,2
478,267,2
478,837,2
478,616,2
479,1129,64
479,372,2
480,537,4
480,1961,16
481,472,32
482,1178,8
482,29,2
483,92,2
484,865,2
485,1833,2
486,1157,2
487,468,2
488,1502,32
489,429,2
490,1564,8
491,561,2
491,1290,2
492,705,2
492,70,2
493,1097,2
494,828,16
494,532,8
494,103,8
494,992,4
495,1214,8
496,1026,2
496,1111,2
496,1514,4
496,586,2
497,1002,2
497,1462,2
497,1605,2
497,504,128
498,1162,2
499,1755,2
500,621,2
501,190,2
502,1301,2
503,1167,4
504,1207,2
505,1768,32
505,148,2
506,1115,2
507,773,32
508,349,2
509,929,2
510,1181,2
511,1446,2
512,1961,2
513,1050,2
514,491,2
515,1591,64
516,1509,2
517,1295,2
518,1774,2
518,1961,8
518,186,2
519,199,32
520,269,8
520,1136,2
520,1809,2
520,1995,2
520,1168,16
521,766,4
522,1031,64
523,842,2
524,813,2
525,1164,2
526,1687,2
527,405,2
528,1309,4
529,1961,4
530,702,2
531,445,2
532,473,4
533,1467,2
534,14,2
535,1122,2
536,360,2
537,956,2
538,215,32
538,57,2
538,806,2
538,1250,8
538,1601,2
539,200,2
540,1124,2
540,1668,128
540,1588,2
540,1175,2
541,1110,2
542,1520,128
543,152,2
544,1199,2
544,924,2
545,1541,2
546,1835,2
547,1248,2
548,1529,2
549,803,2
550,45,256
551,1388,2
552,776,16
553,1887,2
554,802,4
555,1261,2
556,1736,2
556,794,2
557,34,2
558,126,2
559,1634,2
560,1883,256
561,102,2
562,1856,4
563,751,2
564,697,128
565,108,8
566,190,8
567,1384,4
568,167,2
569,723,2
570,808,64
570,1823,4
571,1096,2
571,1831,32
571,1954,2
571,642,2
572,628,2
573,955,2
574,1366,64
575,44,2
576,941,2
576,1745,2
576,1613,2
577,560,2
578,1701,128
579,503,4
580,1643,2
581,776,2
582,531,2
583,1712,16
584,1665,4
584,580,2
584,55,2
585,1244,16
585,1978,2
585,1304,2
586,1833,128
587,1740,2
587,1038,16
588,330,2
589,771,2
590,617,2
590,96,2
591,593,2
592,500,2
593,1386,2
594,679,2
595,762,2
596,341,2
597,939,2
598,101,4
599,302,2
600,1472,2
601,1178,4
602,679,8
603,334,2
604,927,2
604,962,2
605,1021,2
606,1542,256
607,1470,2
608,164,2
609,851,2
610,413,2
611,1130,2
612,690,4
613,844,2
614,47,2
614,1407,128
614,243,2
615,706,4
616,783,8
616,580,8
616,1685,4
617,1478,2
618,628,32
619,857,2
620,995,2
620,1022,2
620,1225,2
621,1983,4
622,1835,16
623,1539,16
624,360,64
624,1115,2
624,61,2
625,1971,2
625,1289,2
625,1105,2
625,1616,8
625,1655,2
626,1210,256
627,1255,2
627,1842,4
627,1867,2
628,1087,4
628,333,2
629,317,16
630,1068,2
631,856,2
632,361,2
633,1855,2
633,1027,4
634,1176,4
634,858,2
634,1392,4
634,1548,2
635,1120,2
636,1096,2
637,735,8
638,1560,2
639,1554,256
640,1971,4
641,1488,2
642,241,2
643,598,2
644,194,2
645,527,2
646,614,2
646,1555,2
646,134,2
646,793,16
647,1449,2
648,1308,2
649,1320,2
649,710,4
650,1593,2
650,1044,2
651,1499,2
652,165,2
653,865,2
654,1739,2
655,1093,4
655,64,2
655,375,2
655,1086,2
656,1481,2
656,898,2
657,1030,2
658,1742,2
659,431,2
660,681,2
661,867,2
662,651,2
663,1699,2
664,908,2
664,192,2
664,1207,2
664,15,2
665,1239,256
666,1026,2
667,318,2
668,1677,4
669,1957,2
670,732,2
671,1303,4
672,1727,256
672,1790,2
672,750,2
673,560,2
673,717,2
673,145,2
674,85,2
674,1604,64
675,316,2
676,1085,64
677,83,2
678,1873,2
678,607,2
679,511,64
680,1611,2
681,1574,4
681,1546,2
681,1614,2
682,982,2
683,651,2
684,524,2
685,913,8
686,597,2
687,112,2
688,309,2
689,1637,16
690,1437,2
691,75,2
691,1782,2
691,761,2
691,1398,64
692,1142,4
693,738,2
694,912,2
695,34,2
695,331,2
695,1151,2
695,1131,2
695,305,4
696,425,8
697,1891,2
698,557,4
699,943,4
700,736,2
701,832,2
702,1955,2
702,1159,32
702,1201,4
702,256,2
703,1305,2
704,1873,2
704,1304,2
704,1012,4
705,73,2
706,1399,2
707,1677,16
708,1667,2
709,1451,2
710,954,2
711,1895,2
711,1098,4
712,666,2
713,1806,2
714,772,2
715,371,2
716,678,2
716,632,2
716,1152,16
716,569,2
717,1252,2
717,893,2
717,1883,2
718,1808,2
719,1191,2
720,160,2
721,817,2
722,55,2
723,1902,2
723,1677,2
723,1528,4
724,1994,2
725,177,4
725,1352,2
726,201,16
727,1227,128
728,215,2
728,571,32
728,1967,4
729,851,2
730,1421,2
731,306,2
732,1828,32
733,1965,4
733,500,2
733,1036,2
733,1423,64
734,839,2
735,670,2
736,485,2
737,1060,2
737,573,2
737,1868,2
737,162,128
737,1181,256
738,1481,8
739,594,2
740,1188,2
741,1827,16
741,449,2
741,478,2
741,801,2
742,409,2
743,1948,2
744,727,2
745,1056,2
746,2,2
747,855,2
748,1690,4
748,1531,2
748,568,2
748,1146,2
748,315,2
749,1722,8
750,979,4
751,1735,2
751,295,2
751,1380,2
751,1494,2
752,1021,64
752,1081,2
752,860,2
752,941,16
752,199,2
753,1192,64
754,1235,2
755,1140,2
756,370,2
757,716,64
758,1519,2
759,1850,2
759,97,4
760,1608,32
761,971,2
762,1048,2
763,199,2
763,359,2
764,1874,8
765,1123,4
765,1562,2
765,1204,4
766,654,2
767,431,4
768,1669,2
769,405,2
770,954,2
771,1596,2
771,1755,4
772,1843,2
772,1026,2
773,1443,2
773,1545,8
774,1122,2
774,250,2
774,363,2
774,611,2
774,856,2
775,1327,2
776,1191,2
777,103,2
778,1310,32
778,1193,2
779,257,4
780,1010,64
780,232,32
780,1612,32
780,354,32
781,1959,2
782,258,16
783,426,2
784,1204,8
785,496,2
786,986,2
786,1975,2
787,1801,2
787,1326,2
787,18,2
787,1184,32
787,846,2
788,996,2
788,716,2
789,96,2
790,1722,4
791,1059,2
792,202,16
793,679,2
793,1060,2
793,1297,2
794,1667,2
795,1768,16
796,1080,256
797,1275,2
798,1403,2
799,1306,2
800,1468,2
801,1118,64
802,66,2
802,1864,2
803,1904,128
804,1698,2
805,106,2
806,996,2
807,1070,2
808,707,2
808,111,2
808,401,2
808,163,2
808,560,2
809,895,2
809,701,2
809,1314,16
809,1932,2
810,1622,2
811,1401,2
811,330,4
812,838,2
813,1622,2
813,276,2
813,711,8
813,837,2
813,1224,2
814,1540,2
815,1019,2
816,166,4
816,230,2
816,401,2
816,1902,2
817,1222,8
817,816,4
818,551,2
819,1098,256
819,935,2
819,407,64
820,1857,2
821,359,16
822,1037,2
822,278,128
823,1547,2
824,715,4
824,1160,2
825,794,2
826,647,2
827,1698,256
828,998,2
829,1218,2
830,1536,2
831,1620,256
832,1700,2
833,1791,64
834,310,2
835,942,2
836,1161,2
837,577,2
837,1098,4
837,377,2
837,1792,2
837,14,2
838,449,2
839,541,32
840,1580,2
841,120,2
842,1591,2
843,345,2
844,1754,8
845,1555,2
846,1156,2
846,634,2
846,170,16
846,799,2
846,199,4
847,1106,2
847,445,2
848,1317,16
849,1963,2
850,610,256
851,320,2
852,1004,2
853,204,2
854,1593,2
855,69,4
856,1649,2
856,1311,2
856,1968,2
856,620,2
856,124,2
857,1084,16
858,1903,16
859,88,2
860,95,2
861,1589,2
862,1169,2
862,589,2
863,1879,2
863,185,2
864,1845,2
865,113,2
866,420,2
867,942,2
868,259,2
869,1672,2
870,641,2
871,441,2
872,333,4
872,1831,4
872,24,4
872,235,2
872,1966,8
873,589,2
873,1722,2
873,1116,2
874,797,256
875,1307,2
876,1026,2
877,1868,2
878,511,4
879,1849,2
880,900,2
881,467,16
881,114,2
881,1140,2
881,1237,2
881,589,2
882,207,2
883,1175,2
883,538,32
884,867,4
885,872,2
886,78,2
887,1871,32
888,1220,2
888,88,2
888,1161,2
889,150,8
890,244,2
890,1781,128
890,1746,2
890,1831,2
891,1178,4
891,1728,2
892,497,2
893,1732,2
894,1939,2
894,1320,2
894,887,4
894,1365,2
894,402,4
895,689,2
896,1956,16
897,1039,8
898,377,8
898,1958,4
898,245,4
898,337,4
899,1816,2
900,1139,2
901,1698,2
901,1366,2
901,95,8
902,1052,2
903,1323,16
904,862,2
904,112,16
904,1019,2
904,741,2
904,489,2
905,1686,2
905,293,2
906,256,2
907,1774,16
908,985,2
909,1547,2
910,1073,2
911,598,2
912,600,2
913,1604,2
913,818,2
913,1602,2
914,933,2
914,1201,4
915,1077,256
916,1673,2
917,561,64
918,205,2
919,1095,2
920,885,64
921,1609,2
922,1760,2
923,1338,2
924,622,2
925,182,2
926,1318,2
927,1685,2
927,1166,2
927,1069,2
928,274,2
928,1965,2
928,1754,2
929,226,2
930,106,2
931,1279,2
931,1044,8
931,1468,2
931,1554,2
931,1220,8
932,265,16
933,30,2
934,1599,4
935,1243,2
936,291,4
936,65,8
936,666,2
936,1286,256
936,264,2
937,762,32
938,1364,2
939,578,4
939,1820,32
940,580,2
941,1879,2
942,584,256
943,1883,2
944,1604,2
945,1654,2
946,1736,2
947,481,16
947,9,2
948,131,32
949,771,2
950,1823,2
951,638,2
952,1673,2
953,956,8
954,1166,2
955,1748,2
956,968,2
957,1758,2
958,1278,2
959,28,256
960,1704,2
961,993,2
962,1493,2
963,1140,2
964,227,2
965,668,128
966,352,4
967,1989,4
968,642,2
969,673,2
970,1045,2
970,532,2
971,723,128
971,1513,4
972,1547,2
973,1933,2
974,753,4
975,38,2
976,1021,2
977,778,2
977,393,2
977,1905,2
978,1516,2
979,389,2
979,1028,8
980,566,2
981,784,2
982,1866,2
983,1046,2
984,789,2
985,859,2
985,540,2
986,1146,2
987,1626,128
988,1614,2
988,749,2
988,714,8
988,1291,2
989,1407,128
990,336,2
991,1632,256
992,1480,2
992,1641,2
992,788,2
992,445,2
992,278,2
993,616,16
994,362,2
995,1545,2
996,757,128
997,59,2
998,42,2
998,855,2
999,230,2
1000,1664,2
1001,1098,2
1002,403,2
1002,911,128
1002,1743,2
1002,122,8
1003,1470,2
1004,1090,64
1005,371,2
1006,1906,16
1007,1804,64
1007,226,8
1007,1836,2
1008,101,256
1008,485,2
1009,801,256
1009,1401,2
1009,1885,2
1010,1531,2
1010,319,2
1011,1106,256
1011,1904,2
1011,317,2
1012,266,2
1013,1520,2
1014,1685,2
1015,1611,64
1016,665,2
1017,895,2
1018,938,4
1019,1379,256
1020,182,2
1021,553,4
1022,161,2
1023,1889,2
1023,1129,2
1023,641,2
1023,1171,2
1023,1631,4
1024,507,2
1024,1868,2
1024,799,8
1025,466,2
1026,585,2
1027,1952,64
1028,478,2
1028,666,2
1029,622,64
1030,1918,2
1031,1559,4
1032,1263,2
1033,1344,4
1034,1922,2
1035,1957,2
1036,653,2
1036,1317,2
1037,1422,2
1038,1956,16
1039,1620,2
1040,506,64
1041,36,2
1042,1811,8
1043,1248,2
1044,1059,2
1045,1345,2
1045,1810,2
1045,1385,2
1045,1737,256
1045,556,2
1046,731,2
1047,1490,8
1048,94,2
1049,708,2
1050,491,2
1050,1965,16
1050,785,2
1051,565,2
1051,1237,32
1051,47,64
1051,1659,2
1052,1196,16
1053,586,2
1054,429,4
1055,852,2
1055,1211,2
1055,995,4
1055,1167,16
1056,789,2
1056,175,2
1056,1781,2
1056,998,2
1057,1938,32
1057,498,2
1057,1473,2
1058,1809,2
1059,1111,2
1059,1289,2
1060,1899,4
1060,255,4
1061,21,2
1062,1395,2
1063,1334,2
1064,1287,2
1065,283,2
1066,1474,32
1067,384,2
1068,1537,2
1068,1171,2
1068,769,2
1068,1994,2
1068,1133,2
1069,820,2
1070,1259,2
1071,845,2
1071,1808,2
1072,1141,2
1073,786,2
1074,1847,2
1074,162,2
1075,467,2
1076,579,2
1077,639,2
1078,210,2
1079,1371,2
1080,738,8
1081,1889,2
1082,332,2
1082,706,2
1082,947,2
1082,1590,4
1083,1848,128
1083,110,2
1084,1835,2
1084,1705,8
1085,691,2
1086,917,4
1086,1016,2
1086,826,32
1086,452,4
1087,974,2
1088,127,2
1089,1318,2
1090,405,256
1091,713,8
1091,548,2
1092,786,64
1093,627,2
1093,560,128
1094,379,2
1095,1087,2
1095,1690,2
1096,1040,2
1097,891,2
1098,1195,8
1099,1844,2
1100,335,2
1101,44,2
1102,1266,64
1102,450,2
1103,1812,32
1104,1289,2
1105,1357,2
1106,565,2
1107,162,4
1108,1358,2
1109,274,8
1110,641,4
1110,1366,2
1110,725,2
1111,378,32
1112,178,2
1113,1692,16
1114,1213,2
1115,477,2
1116,333,2
1116,28,2
1116,1310,2
1117,461,2
1118,1830,16
1118,440,2
1119,1385,2
1120,216,8
1121,1460,2
1122,1758,16
1123,502,8
1124,1361,8
1124,564,2
1124,1497,32
1125,1025,2
1126,707,2
1127,943,2
1128,1664,2
1128,251,2
1128,1859,2
1128,119,2
1129,789,2
1130,315,2
1131,289,8
1132,104,2
1133,1267,2
1134,1019,2
1134,13,2
1134,885,2
1134,1318,2
1134,1437,2
1135,725,16
1136,1964,2
1137,1043,2
1138,1289,128
1139,725,4
1139,263,2
1139,28,64
1139,979,2
1140,64,4
1141,681,64
1142,531,2
1143,1273,4
1144,1507,2
1145,1933,2
1146,1715,2
1147,974,8
1148,268,2
1149,1214,2
1150,914,2
1150,332,2
1151,807,2
1152,1127,256
1153,552,4
1154,1797,2
1155,629,2
1156,1370,2
1157,1114,2
1158,1196,8
1159,388,16
1159,564,2
1159,169,2
1159,751,2
1159,15,2
1160,1836,128
1161,639,8
1162,1188,2
1163,1945,2
1163,1203,2
1163,710,256
1163,307,2
1164,155,4
1165,96,2
1166,1367,2
1167,1482,2
1168,1676,2
1169,655,2
1170,281,2
1171,101,64
1172,341,4
1172,1254,2
1172,1818,4
1172,167,16
1173,1543,4
1174,373,2
1175,1446,2
1176,1331,2
1176,160,2
1176,71,64
1177,425,2
1178,1114,2
1179,246,2
1180,1507,32
1181,196,2
1182,1432,2
1183,729,2
1183,935,2
1184,1120,2
1184,1985,16
1185,617,2
1186,1858,2
1187,1352,16
1188,1152,2
1188,1011,2
1188,362,32
1188,707,2
1188,10,2
1189,1834,2
1190,1132,2
1191,7,4
1192,112,2
1193,1108,2
1194,1308,2
1194,1462,2
1195,1562,2
1195,1794,2
1195,693,2
1196,29,2
1197,498,2
1198,39,2
1199,817,8
1200,1098,2
1201,1683,2
1202,1057,2
1203,1670,2
1204,1945,2
1205,1812,2
1206,1554,2
1207,1702,2
1208,1385,2
1209,754,2
1210,540,2
1211,606,4
1212,87,256
1213,789,2
1214,1159,2
1215,509,2
1215,359,2
1216,1905,2
1217,1804,2
1218,447,2
1219,1183,2
1220,287,128
1220,418,128
1220,1540,2
1221,721,2
1222,227,2
1223,324,256
1224,1105,32
1224,1138,2
1225,837,2
1226,1683,2
1227,1435,2
1228,1726,2
1229,142,2
1230,1582,2
1231,121,2
1232,640,2
1232,442,2
1232,1500,2
1233,1687,2
1233,460,2
1234,587,4
1235,579,256
1236,1874,2
1237,1002,4
1237,1382,2
1238,1650,4
1239,24,16
1240,1229,2
1241,1526,2
1242,1218,2
1243,909,2
1243,1372,2
1244,1903,4
1245,1483,2
1246,754,2
1247,386,2
1247,950,2
1247,478,2
1247,1636,2
1248,1807,2
1249,358,256
1250,1909,2
1251,853,16
1252,946,8
1253,1513,2
1254,528,2
1255,798,2
1256,413,2
1256,72,2
1256,1764,2
1256,876,8
1257,171,2
1257,616,2
1258,267,2
1259,1567,2
1260,59,2
1261,1937,256
1262,1293,2
1262,728,2
1262,368,2
1262,1581,16
1263,1416,2
1264,819,2
1265,869,2
1265,848,2
1265,647,2
1266,710,2
1267,1247,2
1267,1146,2
1268,399,2
1269,384,2
1270,1531,2
1271,599,2
1272,864,4
1273,981,2
1274,1731,2
1275,971,2
1275,987,2
1276,674,4
1277,703,2
1278,610,2
1279,1987,2
1280,1848,2
1280,177,16
1280,1221,2
1280,359,4
1280,93,128
1281,972,2
1282,1517,2
1283,292,4
1284,980,2
1284,1550,8
1284,495,4
1284,183,64
1284,1134,8
1285,1169,2
1286,190,2
1287,1652,2
1287,1871,2
1287,1093,16
1288,187,2
1289,792,32
1290,577,2
1291,1423,2
1292,1041,2
1292,976,2
1292,1221,16
1292,1428,16
1292,349,2
1293,838,2
1294,1007,2
1295,281,2
1295,357,2
1295,1274,2
1295,873,4
1295,1433,2
1296,198,4
1297,326,2
1298,822,2
1299,218,2
1300,1744,2
1301,781,2
1302,776,2
1302,138,2
1303,205,2
1304,1564,2
1304,1934,2
1305,461,4
1305,1404,2
1305,523,2
1305,1043,8
1306,684,2
1307,554,64
1308,1468,8
1309,1657,2
1310,945,2
1310,1802,32
1310,1918,4
1311,1257,16
1312,1683,2
1313,143,16
1314,309,64
1315,445,2
1315,425,2
1315,1813,2
1315,1767,8
1315,1902,32
1316,1364,2
1317,10,128
1317,1189,2
1318,1582,2
1319,735,2
1319,1205,8
1320,72,32
1321,102,2
1322,1109,2
1322,1242,2
1323,296,2
1324,1350,2
1325,339,4
1326,22,2
1327,605,2
1328,254,2
1328,903,2
1328,1762,2
1328,1601,2
1328,1667,8
1329,1055,2
1330,459,2
1331,1441,16
1332,712,32
1332,506,128
1333,444,8
1334,1528,4
1335,1927,4
1335,1868,2
1335,1507,16
1336,596,2
1336,1885,16
1337,79,2
1338,1170,2
1339,1436,4
1340,1253,2
1341,96,2
1341,1544,2
1342,143,2
1342,1840,2
1342,1927,32
1342,786,2
1342,444,2
1343,1239,2
1344,1338,2
1344,557,2
1345,1447,2
1346,1485,2
1347,602,2
1347,937,256
1348,601,2
1348,87,2
1348,794,8
1349,1118,2
1350,467,2
1351,1812,8
1352,684,2
1352,383,16
1352,120,2
1353,1764,2
1354,323,2
1355,857,2
1356,1231,2
1357,1535,2
1358,1526,2
1359,874,2
1359,805,2
1360,1036,4
1361,741,2
1362,69,8
1363,689,2
1364,1370,2
1365,554,2
1366,283,2
1367,981,2
1368,1678,2
1368,957,2
1369,38,2
1370,637,2
1371,1046,64
1372,1225,4
1373,1965,2
1374,794,4
1375,1279,32
1376,1639,2
1377,1569,2
1377,1164,2
1378,1623,2
1379,562,2
1380,543,2
1381,712,2
1381,1839,2
1381,179,2
1381,673,2
1382,1393,2
1383,1886,2
1384,551,2
1384,573,2
1384,1564,2
1384,441,4
1385,1604,2
1386,1872,2
1387,114,2
1388,439,4
1389,1087,4
1390,778,16
1391,604,2
1392,1639,4
1392,1257,2
1392,1622,32
1393,1218,2
1394,1765,2
1394,566,2
1395,482,2
1396,602,4
1396,1884,2
1396,305,2
1397,1873,8
1398,10,128
1399,1792,2
1400,1266,2
1401,1304,2
1402,1313,2
1402,112,2
