183,"Vegetable Beer",5000,7.02,2840,"Founders Breakfast Stout",475
184,"Strong Ale",5000,3.68,1520,"Yeti Imperial Stout",5
185,"Strong Ale",330,8.12,2020,"Hop Rod Rye",85
186,"Vegetable Beer",500,9.16,1540,"Chocolate St",118
187,Smoke-flavored,500,4.42,2850,"Bell’s Expedition",445
188,Porter,330,9.97,1030,"Chocolate St",372
189,"Dark Lager",330,1.64,1850,"Schneider Aventinus",262
190,"English Pale Ale",330,10.59,550,"Edmund Fitzgerald Porter",52
191,"Merican Ale",330,6.85,2080,Duvel,452
192,"Vegetable Beer",5000,10.49,2840,"Racer 5 India Pale Ale, Bear Republic Bre",285
193,"Scottish And Irish Ale",330,4.57,1580,"Two Hearted Ale",351
194,"Light Lager",500,7.71,1540,"Trois Pistoles",461
195,"Vegetable Beer",5000,3.23,520,"Brooklyn Black",30
196,Bock,500,11.78,1880,"Storm King Stout",226
197,Bock,750,6.04,8090,"Trappistes Rochefort 10",300
198,"Fruit Beer",1000,11.86,1250,"Founders Breakfast Stout",356
199,"Amber Hybrid Beer",500,2.1,2830,"Pliny The Elder",89
200,"Wood-aged Beer",1000,12.3,8090,"Celebrator Doppelbock",90
201,"English Pale Ale",1000,7.59,2880,"Péché Mortel",70
202,Porter,750,8.98,2050,"Péché Mortel",77
203,"Sour Ale",750,11.84,8040,"Westmalle Trappist Tripel",360
204,"Fruit Beer",750,12.48,1520,"Trois Pistoles",259
205,"Scottish And Irish Ale",750,3.58,1550,"Edmund Fitzgerald Porter",316
206,"German Wheat And Rye Beer",500,5.16,2890,"Bell’s Expedition",194
207,"Scottish And Irish Ale",500,9.44,1080,"Dreadnaught IPA",301
208,"German Wheat And Rye Beer",500,2.88,1590,"Weihenstephaner Hefeweissbier",15
209,"Belgian And French Ale",750,4.37,580,"Double Bastard Ale",79
210,"English Brown Ale",1000,3.85,1230,"Sublimely Self-Righteous Ale",175
211,"Scottish And Irish Ale",330,0.52,8090,"Samuel Smith’s Oatmeal Stout",155
212,"Vegetable Beer",500,11.01,550,"Founders Breakfast Stout",459
213,"Dark Lager",330,4.08,1020,"Double Bastard Ale",257
214,"Wood-aged Beer",5000,2.06,550,"Delirium Noctorum",344
215,"Strong Ale",1000,6.0,550,"Shakespeare Oatmeal",307
216,"Vegetable Beer",330,6.64,1080,"Brooklyn Black",434
217,"Belgian And French Ale",330,7.64,1850,"Orval Trappist Ale",464
218,"Sour Ale",500,12.46,1890,Hennepin,239
219,"Sour Ale",1000,1.63,1850,"Delirium Noctorum",485
220,Porter,330,4.47,8030,"Dreadnaught IPA",246
221,Porter,500,6.6,8050,"Delirium Noctorum",461
222,"Vegetable Beer",330,6.94,1850,"Chimay Grande Réserve",196
223,Smoke-flavored,5000,8.96,2830,"Racer 5 India Pale Ale, Bear Republic Bre",85
224,"Sour Ale",1000,2.74,1080,"Dreadnaught IPA",15
225,"Dark Lager",330,10.51,1240,"Stone Imperial Russian Stout",382
226,Smoke-flavored,330,7.84,1280,"Pliny The Elder",66
227,"Light Hybrid Beer",750,5.58,8050,"Trappistes Rochefort 10",90
228,"Light Hybrid Beer",1000,2.41,8090,"Trois Pistoles",494
229,"Light Lager",1000,4.97,8020,"Bourbon County Stout",104
230,"Light Lager",5000,7.82,2840,"Stone IPA",215
231,"European Amber Lager",330,2.82,2020,Maudite,299
232,"Light Lager",330,3.31,2850,"Arrogant Bastard Ale",210
233,Porter,750,10.61,8090,"Celebrator Doppelbock",477
234,"Scottish And Irish Ale",750,0.27,1230,"Oaked Arrogant Bastard Ale",477
235,"Amber Hybrid Beer",1000,12.05,1530,"Brooklyn Black",187
236,"Light Hybrid Beer",500,1.98,1280,"Chocolate St",23
237,"English Brown Ale",750,0.33,1520,"Arrogant Bastard Ale",59
238,"Wood-aged Beer",5000,8.88,2850,"Founders Breakfast Stout",167
239,"Merican Ale",1000,6.6,1530,"Double Bastard Ale",251
240,"Strong Ale",750,4.31,2090,"Edmund Fitzgerald Porter",296
241,Pilsner,1000,12.28,1530,"Founders Breakfast Stout",372
242,"Strong Ale",750,10.55,1840,"Racer 5 India Pale Ale, Bear Republic Bre",393
243,"Vegetable Beer",330,3.06,1220,"Samuel Smith’s Imperial IPA",48
244,"India Pale Ale",500,10.15,1530,Duvel,337
245,Pilsner,1000,5.18,1840,"Weihenstephaner Hefeweissbier",231
246,"Wood-aged Beer",5000,10.78,1050,"Bell’s Expedition",260
247,"India Pale Ale",750,10.85,1880,"Stone IPA",20
248,"Dark Lager",5000,1.62,2090,"Alpha King Pale Ale",220
249,"Strong Ale",750,12.15,590,"Sublimely Self-Righteous Ale",122
250,"India Pale Ale",500,5.48,1520,"Weihenstephaner Hefeweissbier",20
251,"Light Lager",750,12.43,520,"Trappistes Rochefort 10",155
252,"German Wheat And Rye Beer",750,2.66,1250,"St. Bernardus Abt 12",178
253,Stout,5000,5.4,1850,"Bourbon County Stout",105
254,"India Pale Ale",500,11.66,8080,"Nugget Nectar",463
255,"Belgian And French Ale",750,0.02,1850,"Founders Kentucky Breakfast",353
256,Stout,330,7.64,1820,"Arrogant Bastard Ale",378
257,"English Brown Ale",5000,4.56,1890,"Edmund Fitzgerald Porter",28
258,"Sour Ale",1000,9.11,8020,"Two Hearted Ale",274
259,"India Pale Ale",750,6.85,2850,"Alpha King Pale Ale",214
260,"Wood-aged Beer",500,7.37,1840,Maudite,408
261,"Dark Lager",1000,6.5,1280,"Alpha King Pale Ale",430
262,"Dark Lager",330,5.25,1290,Duvel,495
263,"English Brown Ale",5000,2.26,2830,"Samuel Smith’s Oatmeal Stout",246
264,"Amber Hybrid Beer",330,10.95,1840,"Trois Pistoles",297
265,"Belgian Strong Ale",330,10.98,1090,"Racer 5 India Pale Ale, Bear Republic Bre",19
266,Porter,330,3.22,1550,"HopSlam Ale",204
267,"Belgian And French Ale",750,10.45,1890,"Alpha King Pale Ale",267
268,"Scottish And Irish Ale",500,8.65,1080,"Pliny The Elder",379
269,"Light Hybrid Beer",500,10.45,2050,"Stone Imperial Russian Stout",378
270,"German Wheat And Rye Beer",5000,8.61,1030,"Ten FIDY",177
271,"Amber Hybrid Beer",1000,7.98,1820,"Nugget Nectar",42
272,"German Wheat And Rye Beer",1000,10.66,1250,"Péché Mortel",127
273,"Belgian Strong Ale",1000,8.7,2090,"Founders Kentucky Breakfast",119
274,Porter,750,7.42,1240,"Sierra Nevada Celebration Ale",251
275,"Fruit Beer",750,6.28,590,"Stone Imperial Russian Stout",355
276,"Vegetable Beer",750,9.16,2830,"Stone Imperial Russian Stout",63
277,"Fruit Beer",330,12.03,580,Hennepin,404
278,"Scottish And Irish Ale",5000,7.89,8050,Maudite,43
279,"English Pale Ale",500,7.68,1540,"Kirin Inchiban",367
280,"India Pale Ale",750,9.7,2080,"Chimay Grande Réserve",152
281,"Dark Lager",500,0.04,1850,"Ruination IPA",278
282,"Amber Hybrid Beer",500,2.96,1080,"Two Hearted Ale",319
283,"Sour Ale",750,1.45,520,Maudite,382
284,"Strong Ale",750,9.19,2830,"Double Bastard Ale",124
285,"Light Lager",330,11.53,1050,"Westmalle Trappist Tripel",322
286,Stout,500,11.38,2040,"Sublimely Self-Righteous Ale",59
287,"Light Lager",5000,7.7,1580,"Samuel Smith’s Oatmeal Stout",482
288,Porter,330,4.56,1090,"Storm King Stout",363
289,"Amber Hybrid Beer",750,10.01,1580,"Chocolate St",442
290,"Sour Ale",500,2.62,550,"Chocolate St",246
291,"Merican Ale",330,1.99,1820,"Chocolate St",241
292,"Belgian And French Ale",5000,12.51,1830,"Trois Pistoles",171
293,"Vegetable Beer",1000,11.06,2820,"St. Bernardus Abt 12",417
294,"Light Hybrid Beer",500,11.44,2030,"Westmalle Trappist Tripel",157
295,"Vegetable Beer",5000,0.92,2080,"Delirium Noctorum",305
296,"Merican Ale",500,10.62,2050,"Bourbon County Stout",108
297,"Merican Ale",750,2.94,2080,"Stone Imperial Russian Stout",228
298,"Light Lager",330,4.82,8040,"Nugget Nectar",316
299,"Light Hybrid Beer",1000,10.85,1080,"Hercules Double IPA",188
300,"Amber Hybrid Beer",5000,9.15,1290,"Sierra Nevada Celebration Ale",500
301,"Belgian And French Ale",500,9.39,1220,"Hop Rod Rye",484
302,"Light Hybrid Beer",750,8.76,1240,"Schneider Aventinus",416
303,Pilsner,500,7.5,8040,Maudite,200
304,"Belgian And French Ale",1000,3.61,1820,"90 Minute IPA",330
305,Pilsner,750,6.47,1240,"Double Bastard Ale",111
306,"Merican Ale",500,7.14,1230,"Yeti Imperial Stout",168
307,"Amber Hybrid Beer",330,0.05,1080,"Weihenstephaner Hefeweissbier",257
308,"Dark Lager",330,12.35,1290,"Westmalle Trappist Tripel",59
309,"Belgian Strong Ale",500,1.28,1090,"Ruination IPA",378
310,"European Amber Lager",330,5.78,2850,"Chimay Grande Réserve",67
311,Stout,500,3.2,8090,"Weihenstephaner Hefeweissbier",447
312,Smoke-flavored,1000,8.33,2090,"Schneider Aventinus",466
313,"Merican Ale",750,11.92,1850,Maharaj,439
314,"India Pale Ale",1000,8.82,2890,"Shakespeare Oatmeal",255
315,Bock,330,7.62,1540,"Brooklyn Black",302
316,"Fruit Beer",330,9.39,590,"Chimay Grande Réserve",226
317,Smoke-flavored,500,8.5,1830,"Oak Aged Yeti Imperial Stout",347
318,"Belgian Strong Ale",750,9.6,2040,"Alpha King Pale Ale",138
319,Pilsner,1000,3.12,1050,"Péché Mortel",276
320,Smoke-flavored,1000,6.94,550,"Bourbon County Stout",2
321,"English Pale Ale",750,9.6,1280,"Shakespeare Oatmeal",406
322,"India Pale Ale",5000,4.71,2020,"Oaked Arrogant Bastard Ale",351
323,"Light Hybrid Beer",1000,3.27,1880,"Dreadnaught IPA",62
324,Porter,330,11.36,1540,"Weihenstephaner Hefeweissbier",102
325,"Dark Lager",1000,1.78,1880,"Alpha King Pale Ale",239
326,"Vegetable Beer",330,2.14,8030,Hennepin,223
327,Smoke-flavored,750,10.36,1040,"Ruination IPA",178
328,"Vegetable Beer",500,3.17,1590,"Péché Mortel",443
329,Bock,330,4.52,8030,"Delirium Tremens",455
330,"Light Hybrid Beer",1000,12.19,1050,"Stone Imperial Russian Stout",107
331,"European Amber Lager",500,9.71,1020,"Two Hearted Ale",488
332,"Strong Ale",1000,8.38,8030,"Orval Trappist Ale",417
333,Smoke-flavored,330,11.67,2080,"Double Bastard Ale",333
334,"European Amber Lager",330,7.77,1280,"Weihenstephaner Hefeweissbier",327
335,"Light Lager",750,7.02,1590,"Chocolate St",369
336,"Sour Ale",1000,2.58,1020,"Arrogant Bastard Ale",331
337,"Strong Ale",5000,3.73,8090,Maharaj,462
338,"Scottish And Irish Ale",500,7.66,580,"Westmalle Trappist Tripel",329
339,"Merican Ale",5000,2.0,8020,"Oak Aged Yeti Imperial Stout",165
340,"Light Lager",1000,1.14,1040,"Double Bastard Ale",78
341,"Light Lager",500,5.87,1550,Maharaj,94
342,"English Brown Ale",1000,9.88,1840,"Hercules Double IPA",424
343,"English Pale Ale",330,9.33,520,"HopSlam Ale",350
344,"European Amber Lager",500,6.93,1580,"Dreadnaught IPA",215
345,"Belgian And French Ale",1000,0.63,1280,"Trappistes Rochefort 10",326
346,Bock,1000,5.07,1250,"Racer 5 India Pale Ale, Bear Republic Bre",144
347,"India Pale Ale",1000,1.39,2840,"Ten FIDY",192
348,"Sour Ale",750,7.93,2050,"Péché Mortel",43
349,"Fruit Beer",1000,4.88,1240,"Arrogant Bastard Ale",421
350,"Light Hybrid Beer",500,4.58,8020,"Ten FIDY",228
351,"Strong Ale",750,0.84,1230,"Alpha King Pale Ale",121
352,Stout,500,5.68,2830,"Trappistes Rochefort 8",403
353,"Scottish And Irish Ale",5000,7.93,1050,"Bell’s Expedition",120
354,"Fruit Beer",750,3.84,590,"Trois Pistoles",57
355,"Vegetable Beer",5000,4.67,2850,"Sapporo Premium",379
356,"Merican Ale",500,1.54,1820,"Sublimely Self-Righteous Ale",84
357,Stout,1000,4.0,540,Maudite,145
358,"English Brown Ale",1000,2.92,1530,"Celebrator Doppelbock",52
359,"Dark Lager",1000,3.89,550,Duvel,229
360,"Light Lager",5000,7.66,520,"Oak Aged Yeti Imperial Stout",388
361,Bock,5000,5.03,2050,"Pliny The Elder",68
362,"Amber Hybrid Beer",5000,7.06,8020,"Alpha King Pale Ale",327
363,Stout,750,2.37,1090,"La Fin Du Monde",414
364,"Strong Ale",5000,9.89,1250,"Oaked Arrogant Bastard Ale",320
365,"English Pale Ale",1000,0.21,1840,"Hop Rod Rye",433
366,"Strong Ale",500,0.48,8050,"Arrogant Bastard Ale",476
367,"Belgian And French Ale",5000,3.37,1050,"Chocolate St",240
368,"Merican Ale",750,3.39,1540,"Racer 5 India Pale Ale, Bear Republic Bre",455
369,Bock,1000,12.1,1080,"Schneider Aventinus",198
370,"Vegetable Beer",500,11.39,2850,"Shakespeare Oatmeal",14
371,"Sour Ale",5000,10.89,2820,"Chocolate St",307
372,Porter,5000,0.46,550,"Ten FIDY",383
373,Porter,750,8.04,520,"Bell’s Expedition",213
374,"European Amber Lager",1000,12.8,1550,"Sierra Nevada Celebration Ale",483
375,Bock,330,3.94,2840,"Yeti Imperial Stout",198
376,"Strong Ale",500,9.21,8030,"Celebrator Doppelbock",343
377,"India Pale Ale",1000,3.16,2850,"Bell’s Expedition",271
378,"Belgian Strong Ale",750,10.26,1230,"Westmalle Trappist Tripel",176
379,"Light Hybrid Beer",330,2.65,2820,"Delirium Tremens",254
380,"Vegetable Beer",330,10.91,1220,"Double Bastard Ale",472
381,"Light Hybrid Beer",330,8.75,8030,"Stone IPA",419
382,"Light Hybrid Beer",750,9.33,2080,"Sierra Nevada Bigfoot Barleywine Style Ale",111
383,Pilsner,750,7.09,8020,"St. Bernardus Abt 12",447
384,"Amber Hybrid Beer",500,11.92,1890,"Edmund Fitzgerald Porter",424
385,"English Brown Ale",500,3.56,8030,"Westmalle Trappist Tripel",190
386,"Amber Hybrid Beer",500,2.41,520,"Shakespeare Oatmeal",363
387,"English Brown Ale",1000,4.85,2880,"Sublimely Self-Righteous Ale",487
388,"Dark Lager",1000,7.27,2850,"Founders Kentucky Breakfast",108
389,Stout,750,12.14,2890,"Hop Rod Rye",421
390,"European Amber Lager",5000,1.95,2030,"Schneider Aventinus",268
391,"Vegetable Beer",500,0.62,8040,"Weihenstephaner Hefeweissbier",457
392,"Wood-aged Beer",1000,6.89,1030,"Brooklyn Black",363
393,Pilsner,330,10.85,2090,"Samuel Smith’s Imperial IPA",137
394,"Scottish And Irish Ale",1000,12.86,1080,"Sublimely Self-Righteous Ale",182
395,"Sour Ale",330,2.49,8040,"Samuel Smith’s Oatmeal Stout",20
396,"Light Hybrid Beer",330,11.77,2020,Duvel,133
397,"Dark Lager",1000,9.08,1540,"Brooklyn Black",218
398,"Dark Lager",500,12.46,1050,"Oaked Arrogant Bastard Ale",187
399,"Wood-aged Beer",500,5.85,1040,"Stone Imperial Russian Stout",266
400,"Merican Ale",5000,9.89,1520,"Sublimely Self-Righteous Ale",262
401,"Light Lager",1000,11.9,2820,"Shakespeare Oatmeal",194
402,"Belgian And French Ale",5000,2.09,8030,"Two Hearted Ale",198
403,"Light Hybrid Beer",750,6.82,2090,"Kirin Inchiban",308
404,"Belgian And French Ale",750,12.93,1550,"Bell’s Expedition",220
405,"European Amber Lager",330,6.4,8090,"Trois Pistoles",121
